,name,url,country,Geography,Population (millions),Region,revision_id,article_quality
79,Rahmatullah Nabil,https://en.wikipedia.org/wiki/Rahmatullah_Nabil,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1112496538,Start
80,Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1038680015,Stub
81,Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1110983467,Start
82,Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Afghanistan,41.1,SOUTH ASIA,916899472,Stub
83,Muhammad Yunus Nawandish,https://en.wikipedia.org/wiki/Muhammad_Yunus_Nawandish,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1111494390,C
84,Ali Maisam Nazary,https://en.wikipedia.org/wiki/Ali_Maisam_Nazary,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1107279930,Start
85,Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1093612575,Stub
86,Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1001786762,Start
87,Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,996093541,Stub
88,Nasrin Oryakhil,https://en.wikipedia.org/wiki/Nasrin_Oryakhil,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1097277701,Start
89,Murad Quenili,https://en.wikipedia.org/wiki/Murad_Quenili,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1093963498,Stub
90,Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,918256992,Stub
91,Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,987269301,Stub
92,Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,994195074,Stub
93,Amrullah Saleh,https://en.wikipedia.org/wiki/Amrullah_Saleh,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1115022704,FA
94,Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,889806024,Stub
95,Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1098092701,Stub
96,Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1019860497,Stub
97,Muhammad Arif Sarwari,https://en.wikipedia.org/wiki/Muhammad_Arif_Sarwari,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1079170926,Start
98,Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1026963110,Stub
99,Sayyid Husayn,https://en.wikipedia.org/wiki/Sayyid_Husayn,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1095559301,Stub
100,Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1102910228,Start
101,Mohammad Shakir Kargar,https://en.wikipedia.org/wiki/Mohammad_Shakir_Kargar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1096574840,C
102,Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1111917754,Stub
103,Awtar Singh,https://en.wikipedia.org/wiki/Awtar_Singh,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1115100619,Stub
104,Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1060706902,Stub
105,Faramarz Tamanna,https://en.wikipedia.org/wiki/Faramarz_Tamanna,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106885861,C
106,Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1021308429,Start
107,Nur ul-Haq Ulumi,https://en.wikipedia.org/wiki/Nur_ul-Haq_Ulumi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1107429109,GA
108,Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1020846299,Stub
109,Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1111508295,C
110,Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1060707715,Start
111,Al-Haj Suliman Yari,https://en.wikipedia.org/wiki/Al-Haj_Suliman_Yari,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1092426408,Stub
112,Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106388504,GA
113,Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Afghanistan,41.1,SOUTH ASIA,1097261199,Stub
114,Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1108389318,Start
115,Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Afghanistan,41.1,SOUTH ASIA,1095799892,Start
116,Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1033608758,Start
117,Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Afghanistan,41.1,SOUTH ASIA,994023417,Stub
118,Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,Albania,2.8,SOUTHERN EUROPE,1114426634,GA
119,Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Albania,2.8,SOUTHERN EUROPE,949182924,Start
120,Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Albania,2.8,SOUTHERN EUROPE,994501003,Stub
121,Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,Albania,2.8,SOUTHERN EUROPE,1091800566,Start
122,Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Albania,2.8,SOUTHERN EUROPE,1094050369,Start
123,Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,Albania,2.8,SOUTHERN EUROPE,1110580984,C
124,Dervish Biçaku,https://en.wikipedia.org/wiki/Dervish_Biçaku,Albania,Albania,2.8,SOUTHERN EUROPE,1106794267,Stub
125,Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,Albania,2.8,SOUTHERN EUROPE,1107876476,C
126,Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Albania,2.8,SOUTHERN EUROPE,1098235893,Start
127,Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,Albania,2.8,SOUTHERN EUROPE,1067080697,C
128,Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Albania,2.8,SOUTHERN EUROPE,1087272778,Start
129,Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Albania,2.8,SOUTHERN EUROPE,1061419179,Start
130,Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Albania,2.8,SOUTHERN EUROPE,1095178618,Start
131,Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Albania,2.8,SOUTHERN EUROPE,1114418989,Start
132,Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Albania,2.8,SOUTHERN EUROPE,1087026828,Start
133,Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Albania,2.8,SOUTHERN EUROPE,1104589367,Stub
134,Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Albania,2.8,SOUTHERN EUROPE,1101365003,Start
135,Fuad Dibra,https://en.wikipedia.org/wiki/Fuad_Dibra,Albania,Albania,2.8,SOUTHERN EUROPE,1079550815,Start
136,Isuf Dibra,https://en.wikipedia.org/wiki/Isuf_Dibra,Albania,Albania,2.8,SOUTHERN EUROPE,1108975040,Start
137,Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,Albania,2.8,SOUTHERN EUROPE,1112281152,C
138,Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Albania,2.8,SOUTHERN EUROPE,1114424802,Stub
139,Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Albania,2.8,SOUTHERN EUROPE,1067061654,Stub
140,Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,Albania,2.8,SOUTHERN EUROPE,1101927317,C
141,Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,Albania,2.8,SOUTHERN EUROPE,1092914547,GA
142,Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,Albania,2.8,SOUTHERN EUROPE,1114425909,B
143,Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Albania,2.8,SOUTHERN EUROPE,1073827690,Start
144,Bajram Fevziu,https://en.wikipedia.org/wiki/Bajram_Fevziu,Albania,Albania,2.8,SOUTHERN EUROPE,1089008480,Start
145,Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Albania,2.8,SOUTHERN EUROPE,1015553118,Stub
146,Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,Albania,2.8,SOUTHERN EUROPE,1099714241,C
147,Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,Albania,2.8,SOUTHERN EUROPE,1105835401,C
148,Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,Albania,2.8,SOUTHERN EUROPE,1095879069,C
149,Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,Albania,2.8,SOUTHERN EUROPE,1104696112,GA
150,Albulena Haxhiu,https://en.wikipedia.org/wiki/Albulena_Haxhiu,Albania,Albania,2.8,SOUTHERN EUROPE,1095286065,Stub
151,High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,Albania,2.8,SOUTHERN EUROPE,1107096289,C
152,Spiridon Kacarosi,https://en.wikipedia.org/wiki/Spiridon_Kacarosi,Albania,Albania,2.8,SOUTHERN EUROPE,993288548,Stub
153,Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Albania,2.8,SOUTHERN EUROPE,998414015,Stub
154,Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Albania,2.8,SOUTHERN EUROPE,979382854,Stub
155,Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Albania,2.8,SOUTHERN EUROPE,1098236555,Stub
156,Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,Albania,2.8,SOUTHERN EUROPE,1053849574,Start
157,Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,Albania,2.8,SOUTHERN EUROPE,1069956844,C
158,Belind Këlliçi,https://en.wikipedia.org/wiki/Belind_Këlliçi,Albania,Albania,2.8,SOUTHERN EUROPE,1114971095,C
159,Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Albania,2.8,SOUTHERN EUROPE,1098232331,Start
160,Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,Albania,2.8,SOUTHERN EUROPE,1071577370,C
161,Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Albania,2.8,SOUTHERN EUROPE,919356105,Start
162,Ali Riza Kolonja,https://en.wikipedia.org/wiki/Ali_Riza_Kolonja,Albania,Albania,2.8,SOUTHERN EUROPE,1095185542,Start
163,Glauk Konjufca,https://en.wikipedia.org/wiki/Glauk_Konjufca,Albania,Albania,2.8,SOUTHERN EUROPE,1110511667,Start
164,Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Albania,2.8,SOUTHERN EUROPE,1106794268,Stub
165,Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Albania,2.8,SOUTHERN EUROPE,1113466121,Start
166,Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Albania,2.8,SOUTHERN EUROPE,1112281132,Stub
167,Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Albania,2.8,SOUTHERN EUROPE,1080104315,Start
168,Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Albania,2.8,SOUTHERN EUROPE,1071576324,Stub
169,Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,Albania,2.8,SOUTHERN EUROPE,1114419158,C
170,Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Albania,2.8,SOUTHERN EUROPE,1112281218,Start
171,Fatmir Mediu,https://en.wikipedia.org/wiki/Fatmir_Mediu,Albania,Albania,2.8,SOUTHERN EUROPE,1108640753,Stub
172,Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Albania,2.8,SOUTHERN EUROPE,1111101481,Start
173,Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,Albania,2.8,SOUTHERN EUROPE,1085455681,GA
174,Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Albania,2.8,SOUTHERN EUROPE,1091483288,Stub
175,Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Albania,2.8,SOUTHERN EUROPE,1114419169,Stub
176,Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Albania,2.8,SOUTHERN EUROPE,1112281129,Start
177,Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Albania,2.8,SOUTHERN EUROPE,1074384873,Start
