article_title,url_link,country,article_quality,revision_id,geography,population,region
Murad Quenili,https://en.wikipedia.org/wiki/Murad_Quenili,Afghanistan,Stub,1093963498,Afghanistan,41.1,SOUTH ASIA
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Stub,918256992,Afghanistan,41.1,SOUTH ASIA
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Stub,987269301,Afghanistan,41.1,SOUTH ASIA
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Stub,994195074,Afghanistan,41.1,SOUTH ASIA
Amrullah Saleh,https://en.wikipedia.org/wiki/Amrullah_Saleh,Afghanistan,FA,1115022704,Afghanistan,41.1,SOUTH ASIA
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Stub,889806024,Afghanistan,41.1,SOUTH ASIA
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Stub,1098092701,Afghanistan,41.1,SOUTH ASIA
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Stub,1019860497,Afghanistan,41.1,SOUTH ASIA
Muhammad Arif Sarwari,https://en.wikipedia.org/wiki/Muhammad_Arif_Sarwari,Afghanistan,Start,1079170926,Afghanistan,41.1,SOUTH ASIA
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Stub,1026963110,Afghanistan,41.1,SOUTH ASIA
Sayyid Husayn,https://en.wikipedia.org/wiki/Sayyid_Husayn,Afghanistan,Stub,1095559301,Afghanistan,41.1,SOUTH ASIA
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Start,1102910228,Afghanistan,41.1,SOUTH ASIA
Mohammad Shakir Kargar,https://en.wikipedia.org/wiki/Mohammad_Shakir_Kargar,Afghanistan,C,1096574840,Afghanistan,41.1,SOUTH ASIA
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Stub,1111917754,Afghanistan,41.1,SOUTH ASIA
Awtar Singh,https://en.wikipedia.org/wiki/Awtar_Singh,Afghanistan,Stub,1115100619,Afghanistan,41.1,SOUTH ASIA
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Stub,1060706902,Afghanistan,41.1,SOUTH ASIA
Faramarz Tamanna,https://en.wikipedia.org/wiki/Faramarz_Tamanna,Afghanistan,C,1106885861,Afghanistan,41.1,SOUTH ASIA
